1,EcoFriendly Ltd,John Doe,123 Green Road,EcoCity,EC123,Ecoland,123-456-7890
2,NatureGoods Inc,Jane Smith,456 Natural Way,GreenVille,GV456,Greenland,987-654-3210
3,EcoWorld Inc,Kalvin Philips,385 Green Road,Leeds,ET333,England,345-674-9045
4,Green Clothes Ltd,Scott Carson,885 Earth Drive,Whitehaven,ET721,England,544-114-5082
5,Tree Inc,Bernardo Silva,218 Eco St,Lisbon,GV711,Portugal,312-677-2333
6,Forest Way Ltd,Zack Steffen,862 Green St,Coatesville,EC519,United States,117-699-2301
7,Ocean Waves Inc,Tommy Doyle,229 Ocean St,Manchester,ET693,England,679-421-1768
8,Plant Forward Ltd,James McAtee,781 Plant Road,Salford,ET863,England,716-611-4511
9,New World Inc,Liam Delap,399 World Road,Derby,ET113,England,577-221-1115
10,Grass Roots Inc,Luke Mbete,474 Root Drive,London,ET227,England,777-921-8864
